step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
1580,4.714176,5.259291,0.0005993853935150847,80947200,1719.0,0.4778,4817.3,3.93,12.8,2026-04-18T06:49:27.312544
1590,4.568335,5.246079,0.0005993640258825415,81459200,1717.4,0.5601,4847.2,3.93,12.8,2026-04-18T06:49:57.125664
1600,4.702295,5.234323,0.0005993422935701524,81971200,1715.9,0.5504,4877.0,3.93,12.8,2026-04-18T06:50:26.963849
1610,4.667044,5.223224,0.0005993201966073402,82483200,1717.4,0.6525,4906.8,3.93,12.8,2026-04-18T06:50:56.777083
1620,5.020224,5.213276,0.0005992977350240206,82995200,1718.2,0.774,4936.6,3.93,12.8,2026-04-18T06:51:26.576127
1630,4.69617,5.201635,0.0005992749088506036,83507200,1718.0,0.5801,4966.4,3.93,12.8,2026-04-18T06:51:56.377746
1640,4.588426,5.190665,0.0005992517181179925,84019200,1718.0,0.5901,4996.2,3.93,12.8,2026-04-18T06:52:26.180132
1650,4.640696,5.181035,0.0005992281628575838,84531200,1718.5,0.5213,5026.0,3.93,12.8,2026-04-18T06:52:55.973051
1660,4.629266,5.167146,0.0005992042431012685,85043200,1717.3,0.776,5055.8,3.93,12.8,2026-04-18T06:53:25.787315
1670,4.680028,5.15486,0.0005991799588814299,85555200,1718.4,0.633,5085.6,3.93,12.8,2026-04-18T06:53:55.582451
1680,4.625868,5.143487,0.0005991553102309458,86067200,1717.0,0.5231,5115.4,3.93,12.8,2026-04-18T06:54:25.401174
1690,4.700759,5.132837,0.0005991302971831867,86579200,1718.9,0.5542,5145.2,3.93,12.8,2026-04-18T06:54:55.188409
1700,4.856583,5.124652,0.0005991049197720166,87091200,1717.7,0.631,5175.0,3.93,12.8,2026-04-18T06:55:24.996451
1710,4.740178,5.11738,0.0005990791780317928,87603200,1717.6,0.581,5204.8,3.93,12.8,2026-04-18T06:55:54.805022
1720,4.691769,5.108689,0.0005990530719973661,88115200,1717.8,0.5087,5234.6,3.93,12.8,2026-04-18T06:56:24.609744
1730,4.749958,5.100983,0.0005990266017040801,88627200,1717.4,0.5013,5264.5,3.93,12.8,2026-04-18T06:56:54.421791
1740,4.52334,5.089209,0.0005989997671877719,89139200,1718.1,0.8242,5294.3,3.93,12.8,2026-04-18T06:57:24.223155
1750,4.707274,5.081319,0.0005989725684847712,89651200,1717.3,0.5361,5324.1,3.93,12.8,2026-04-18T06:57:54.036700
1760,4.70408,5.071226,0.0005989450056319016,90163200,1718.8,0.6178,5353.9,3.93,12.8,2026-04-18T06:58:23.825330
1770,4.633171,5.061584,0.0005989170786664787,90675200,1717.1,0.578,5383.7,3.93,12.8,2026-04-18T06:58:53.643184
1780,4.574595,5.051186,0.0005988887876263119,91187200,1718.8,0.533,5413.5,3.93,12.8,2026-04-18T06:59:23.432582
1790,4.629453,5.038606,0.0005988601325497032,91699200,1718.0,0.4901,5443.3,3.93,12.8,2026-04-18T06:59:53.236791
1800,4.715184,5.028965,0.0005988311134754471,92211200,1718.3,0.4895,5473.1,3.93,12.8,2026-04-18T07:00:23.029636
1810,4.885667,5.02017,0.0005988017304428316,92723200,1718.2,2.4404,5502.9,3.93,12.8,2026-04-18T07:00:52.827875
1820,4.62496,5.010392,0.0005987719834916368,93235200,1717.4,0.4818,5532.7,3.93,12.8,2026-04-18T07:01:22.640581
1830,4.499729,5.000235,0.0005987418726621358,93747200,1718.7,0.575,5562.5,3.93,12.8,2026-04-18T07:01:52.431279
1840,4.57056,4.987485,0.0005987113979950944,94259200,1717.1,0.496,5592.3,3.93,12.8,2026-04-18T07:02:22.249595
1850,4.540065,4.976429,0.0005986805595317708,94771200,1718.5,0.5172,5622.1,3.93,12.8,2026-04-18T07:02:52.043241
1860,4.538887,4.967662,0.0005986493573139158,95283200,1717.6,0.6295,5651.9,3.93,12.8,2026-04-18T07:03:21.852605
1870,4.666671,4.959212,0.0005986177913837728,95795200,1718.2,0.616,5681.7,3.93,12.8,2026-04-18T07:03:51.651735
1880,4.454739,4.951004,0.0005985858617840774,96307200,1718.0,0.5505,5711.5,3.93,12.8,2026-04-18T07:04:21.453009
1890,4.472739,4.939172,0.0005985535685580576,96819200,1717.9,0.4636,5741.3,3.93,12.8,2026-04-18T07:04:51.257189
1900,4.47262,4.929062,0.0005985209117494337,97331200,1718.4,0.5149,5771.1,3.93,12.8,2026-04-18T07:05:21.052811
1910,4.629016,4.923247,0.0005984878914024185,97843200,1717.4,0.5826,5800.9,3.93,12.8,2026-04-18T07:05:50.865008
